price,ttr,cost,n_ev,win,first_c,first_t,mean_c,mean_t,boot_lo,boot_hi,train_c,test_c,test_t
"[0.80,0.85)","[5,15)",score (harness),2156,0.8448988470741788,-0.8574945426082919,-1.136537583772604,-0.9203974322999582,-1.2814208380823078,-2.316514246215539,0.4416733524185872,-0.8727028324743166,-1.0919556197324898,-0.7167576422265697
"[0.80,0.85)","[5,15)",real (fee=0),2156,0.8448988470741788,0.03418668831169871,0.045317859106234516,-0.06753775178901758,-0.09410087548719029,-1.4699190435467917,1.282324275002218,-0.012257074406516378,-0.26638317341861223,-0.1749671717459065
"[0.80,0.85)","[5,15)","real (fee=0, no slip)",2156,0.8448988470741788,0.45514842300556635,0.6033322871857162,0.356785419795624,0.49705863071174766,-1.0600238859071767,1.7573468329431332,0.41156156791900717,0.15975479744136442,0.10491653152699239
"[0.80,0.85)","[5,15)","passive maker bound (fill@bid, fee=0)",2156,0.8448988470741788,2.788775510204082,3.7057740685467224,2.767246996201078,3.8679585268880747,1.3965607606679038,4.202852661086079,2.8805997779471406,2.359515348427929,1.551274216192469
"[0.80,0.85)","[10,30)",score (harness),4017,0.8440267876431194,-0.674298312683723,-1.1849081997690925,-0.2864076451130802,-0.5404359960748938,-1.3212961666922038,0.7041655397016983,-0.5815711177408494,0.4173098170070436,0.4544266980945487
"[0.80,0.85)","[10,30)",real (fee=0),4017,0.8440267876431194,0.27133009708739,0.476763915324158,0.6209072433202611,1.1724194424344043,-0.45220561812917326,1.551626607535038,0.3424789920342417,1.2847252308008297,1.3998914625321475
"[0.80,0.85)","[10,30)","real (fee=0, no slip)",4017,0.8440267876431194,0.6887229275578797,1.2101929536233815,1.0412243934780743,1.9658832913638382,-0.09541270320102793,2.044409898244334,0.7612746994166141,1.7086697466321872,1.861629709178917
"[0.80,0.85)","[10,30)","passive maker bound (fill@bid, fee=0)",4017,0.8440267876431194,2.147025143141648,3.778253109829401,2.612853891045272,4.946878886695563,1.518306522728218,3.710113720971882,2.2749368244287185,3.4185028367275354,3.7325190805639408
"[0.80,0.85)","[30,60)",score (harness),7073,0.8328963320082325,-1.2719393646482309,-2.8801515150167054,-1.0272080495878653,-2.452344210048757,-1.8926881891183984,-0.19540644085012238,-1.4672049019740183,-0.3992235234814788,-0.636819442698926
"[0.80,0.85)","[30,60)",real (fee=0),7073,0.8328963320082325,-0.29949165841932895,-0.6780897101726466,-0.08644971769633651,-0.20651186095122223,-0.9548330470263026,0.7569596622253565,-0.5107064493657881,0.5190697562272216,0.8284449292634938
"[0.80,0.85)","[30,60)","real (fee=0, no slip)",7073,0.8328963320082325,0.11580658843489404,0.2622059853761787,0.3316294229533543,0.7921431161517742,-0.5362766531760019,1.183250533399004,-0.09363317099623211,0.9385845115725476,1.4978851802387316
"[0.80,0.85)","[30,60)","passive maker bound (fill@bid, fee=0)",7073,0.8328963320082325,1.3788350063622228,3.126748912498124,1.620660685533283,3.8757619453431285,0.7834133957587266,2.4559801070122087,1.119219705225563,2.3363412061577873,3.7345090505309617
"[0.80,0.85)","[60,120)",score (harness),11824,0.8369996714061154,-1.0127404890740066,-2.9660739646502865,-0.8066933845952396,-2.4664168281829926,-1.447358759339616,-0.18116458530801444,-1.3400386659597474,-0.2328977588575812,-0.5087053132705078
"[0.80,0.85)","[60,120)",real (fee=0),11824,0.8369996714061154,-0.02035690121784916,-0.059622259653926035,0.16058031386498986,0.49122491261061835,-0.48387059277417144,0.8035977433055415,-0.3679209914141428,0.7291645833085512,1.5936281156326226
"[0.80,0.85)","[60,120)","real (fee=0, no slip)",11824,0.8369996714061154,0.39411366711772766,1.1542958001984793,0.5772325317484528,1.7656776594428576,-0.07662895996741664,1.177925574306255,0.04852256729105726,1.1460412856450328,2.5045495580552806
"[0.80,0.85)","[60,120)","passive maker bound (fill@bid, fee=0)",11824,0.8369996714061154,1.5371532476319354,4.505025842533998,1.7380447549409983,5.322088917871455,1.079117162065267,2.3426775345226343,1.179592372933433,2.3388516715390253,5.11907031463907
"[0.80,0.85)","[120,300)",score (harness),16373,0.8327983004047932,-2.1844262541116355,-7.236418432176069,-1.8753609210054614,-6.496218237333802,-2.417616932095909,-1.3258552167978384,-2.0601643264773517,-1.706105567082166,-4.313374782790124
"[0.80,0.85)","[120,300)",real (fee=0),16373,0.8327983004047932,-1.1646683564404687,-3.858209491486157,-0.8874855464586046,-3.0752739697194253,-1.4499906079116662,-0.3389026791708713,-1.0702473907355938,-0.7200999912098336,-1.8211727161150382
"[0.80,0.85)","[120,300)","real (fee=0, no slip)",16373,0.8327983004047932,-0.7526415440053741,-2.49328560173593,-0.4723180299468154,-1.6365939122314082,-1.0351965393497016,0.10168552006811385,-0.6552227694788996,-0.3048016016391133,-0.7708310117697261
"[0.80,0.85)","[120,300)","passive maker bound (fill@bid, fee=0)",16373,0.8327983004047932,0.3423318878641659,1.1338580927626054,0.6217705372429952,2.154946327393338,0.05583897832829705,1.1767160043361227,0.44750835277054285,0.7813715339509152,1.9765980817831554
"[0.85,0.90)","[5,15)",score (harness),2728,0.9030339990852264,-0.21155376677626855,-0.3781438692303503,-0.4162293089702911,-0.775944408363666,-1.4589029773376496,0.590933534741451,-0.3896551556758166,-0.5054607310549308,-0.45055846065572663
"[0.85,0.90)","[5,15)",real (fee=0),2728,0.9030339990852264,0.4387276392961949,0.7844842882726387,0.19359851103198572,0.361297010855208,-0.8758301490386224,1.208510576440534,0.22373806975217067,0.09239507264567808,0.08242638357538806
"[0.85,0.90)","[5,15)","real (fee=0, no slip)",2728,0.9030339990852264,0.8833577712609965,1.5794502282903713,0.6411488153423632,1.196364140550619,-0.4244891018479735,1.6632764024170268,0.6708654267288895,0.5413655611339305,0.4829107054754016
"[0.85,0.90)","[5,15)","passive maker bound (fill@bid, fee=0)",2728,0.9030339990852264,2.991422287390029,5.388798001553378,2.801119198901457,5.281019154405803,1.7281999829807282,3.8615486372946037,2.875357558183438,2.551839596328413,2.3008347858417477
"[0.85,0.90)","[10,30)",score (harness),4779,0.8943665725097266,-0.754638031978787,-1.666430738117577,-0.8026574325160996,-1.8759091441610407,-1.690477076242859,0.019506259975248554,-0.9185290834547588,-0.5513204496113551,-0.7507923611289533
"[0.85,0.90)","[10,30)",real (fee=0),4779,0.8943665725097266,-0.04958286252353259,-0.10949852564984457,-0.14123969645867088,-0.3303778371903472,-0.9404895653385574,0.697989320966001,-0.2443509328503634,0.08241869494532489,0.1123143838037783
