fixture,event_id,ttr,move_bps,p_fair,side,p_win,ask,edge,won,res_outcome,btc,first_btc,ttr_bucket,move_bucket,edge_bucket,ask_bucket
20260611_125240_20260611_135316_BTC5M.parquet,579931,73.19541120529175,9.891600400098174,0.08776419128918439,DOWN,0.9122358087108156,0.34,0.5722358087108155,True,DOWN,62961.69,63024.0,"(40, 80]","(6, 10]","(0.5, 1.0]","(0.3, 0.5]"
20260611_125240_20260611_135316_BTC5M.parquet,580049,70.3106210231781,6.693647045414853,0.8409774136068466,UP,0.8409774136068466,0.54,0.3009774136068466,True,UP,62782.01,62740.0,"(40, 80]","(6, 10]","(0.3, 0.35]","(0.5, 0.7]"
20260611_145352_20260611_155428_BTC5M.parquet,580239,169.04956483840942,8.502335703277947,0.21221892078110177,DOWN,0.7877810792188982,0.5,0.2877810792188982,False,UP,62662.01,62715.31,"(160, 200]","(6, 10]","(0.25, 0.3]","(0.3, 0.5]"
20260611_145352_20260611_155428_BTC5M.parquet,580240,160.2732391357422,13.410007472475217,0.9002976660149163,UP,0.9002976660149163,0.54,0.3602976660149163,False,DOWN,62838.5,62754.29,"(160, 200]","(10, 15]","(0.35, 0.4]","(0.5, 0.7]"
20260611_165503_20260611_175539_BTC5M.parquet,580675,70.45005226135254,8.089723169982609,0.8813089847069101,UP,0.8813089847069101,0.32,0.5613089847069102,True,UP,62462.5,62411.99,"(40, 80]","(6, 10]","(0.5, 1.0]","(0.3, 0.5]"
20260611_165503_20260611_175539_BTC5M.parquet,580689,235.00323224067688,6.85120085442033,0.29168446179606733,DOWN,0.7083155382039327,0.44,0.26831553820393267,False,UP,63003.86,63047.04,"(200, 240]","(6, 10]","(0.25, 0.3]","(0.3, 0.5]"
20260611_165503_20260611_175539_BTC5M.parquet,580726,190.99549436569214,6.19183778385628,0.7206110405588688,UP,0.7206110405588688,0.45,0.2706110405588688,True,UP,63377.22,63337.99,"(160, 200]","(6, 10]","(0.25, 0.3]","(0.3, 0.5]"
20260611_175539_20260611_185614_BTC5M.parquet,580765,88.35908627510071,7.1983812013043655,0.831867540071921,UP,0.831867540071921,0.55,0.28186754007192094,False,DOWN,63690.01,63644.18,"(80, 120]","(6, 10]","(0.25, 0.3]","(0.5, 0.7]"
20260611_185614_20260611_195650_BTC5M.parquet,580943,206.21991205215454,6.246470620587881,0.715192756539027,UP,0.715192756539027,0.28,0.435192756539027,False,DOWN,63527.7,63488.03,"(200, 240]","(6, 10]","(0.4, 0.5]","(0.2, 0.3]"
20260611_195650_20260611_205725_BTC5M.parquet,581074,80.84066438674927,6.888616162757639,0.17629227274898585,DOWN,0.8237077272510142,0.42,0.40370772725101417,False,UP,63604.8,63648.63,"(80, 120]","(6, 10]","(0.4, 0.5]","(0.3, 0.5]"
