latency_ms,edge_c,t,fillable,n
0,3.72672064777328,2.523481453665653,1.0,988
25,2.18421052631579,1.3296202792183185,0.9950641658440277,988
50,1.3876518218623486,0.6948119380753226,0.9921026653504442,988
100,-0.4767206477732791,-0.6554987339062313,0.9901283316880553,988
150,-1.9949392712550602,-2.4635742998996255,0.9851924975320829,988
200,-2.926113360323886,-3.112301870590386,0.983218163869694,988
300,-3.670040485829959,-3.652949075329561,0.9753208292201382,988
500,-3.6649797570850198,-3.281990264158525,0.9753208292201382,988
750,-3.9929149797570846,-3.61897758353516,0.9753208292201382,988
1000,-3.4777327935222675,-3.2198130675139276,0.9753208292201382,988
