hold_ms,n,clusters,mid_move_c,spot_move_bp,edge_c,t,win
100,1003,22,3.846460618145563,0.0561401768303801,-0.7308075772681952,-2.0183148481643025,31.006979062811563
200,996,22,6.446787148594378,0.06327188535200697,2.1716867469879526,0.7284475032939504,55.020080321285135
500,988,22,7.771255060728745,-0.038125772179264265,4.18421052631579,2.1185951587818344,64.67611336032388
1000,988,22,7.3036437246963555,-0.13290006643483032,3.6872469635627536,2.482036566329795,63.56275303643725
2000,988,22,6.344635627530365,-0.10328201699575576,2.9048582995951415,2.742290096146893,61.336032388663966
5000,988,22,5.738360323886641,-0.07678781749518862,2.1548582995951424,1.4524383133072167,56.57894736842105
10000,988,22,6.929655870445345,0.028981866927407177,3.5627530364372473,3.050197649190921,63.1578947368421
